Country,Year,Week,Month,Weather,Tourist_Arrival,TotalPop_0_14,TotalPop_15_29,TotalPop_30_44,TotalPop_45_59,TotalPop_60Plus,PopTotal_100Plus,PopMale,PopFemale,PopTotal,ALL_INF
Croatia,2000,1,1,1.37,31164,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,12
Croatia,2000,2,1,1.37,31164,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,12
Croatia,2000,3,1,1.37,31164,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,18
Croatia,2000,4,1,1.37,31164,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,21
Croatia,2000,5,2,2.99,37221,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,14
Croatia,2000,6,2,2.99,37221,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,15
Croatia,2000,7,2,2.99,37221,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,12
Croatia,2000,8,2,2.99,37221,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,5
Croatia,2000,9,3,6.97,55010,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,7
Croatia,2000,10,3,6.97,55010,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,1
Croatia,2000,11,3,6.97,55010,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,6
Croatia,2000,12,3,6.97,55010,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,0
Croatia,2000,13,4,11.47,268977,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,0
Croatia,2000,14,4,11.47,268977,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,0
Croatia,2000,15,4,11.47,268977,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,16,4,11.47,268977,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,17,4,11.47,268977,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,18,5,15.82,287949,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,19,5,15.82,287949,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,20,5,15.82,287949,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,21,5,15.82,287949,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,22,6,19.58,795573,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,23,6,19.58,795573,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,24,6,19.58,795573,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,25,6,19.58,795573,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,26,7,21.65,1641113,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,27,7,21.65,1641113,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,28,7,21.65,1641113,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,29,7,21.65,1641113,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,30,7,21.65,1641113,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,31,8,21.56,1786390,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,32,8,21.56,1786390,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,33,8,21.56,1786390,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,34,8,21.56,1786390,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,35,9,16.85,674357,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,36,9,16.85,674357,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
Croatia,2000,37,9,16.85,674357,767.026,896.92,957.39,843.178,963.415,0.146,2131.647,2296.428,4428.075,
